"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Social Sciences, Journalism and Information","NFQ Level 10","North America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","All nationalities","Number","9220"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","UK","Number","100"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Ireland","Number","8240"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Unknown","Number","30"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Africa","Number","60"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","South Asia","Number","40"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","South-East Asia","Number","10"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","East Asia","Number","200"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Central and South America","Number","10"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","Europe excluding UK and Ireland","Number","490"
"Number of Graduates","2010","Business, Administration and Law","All NFQ Levels","North America","Number","40"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","All nationalities","Number","510"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","UK","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Ireland","Number","450"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Africa","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","South Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Mid-East","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","Europe excluding UK and Ireland","Number","30"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 6","North America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","All nationalities","Number","1230"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","UK","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Ireland","Number","960"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Unknown","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Africa","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","South Asia","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","East Asia","Number","20"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Mid-East","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","Europe excluding UK and Ireland","Number","220"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 7","North America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","All nationalities","Number","5190"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","UK","Number","60"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Ireland","Number","4800"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Unknown","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Africa","Number","30"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Central Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","South Asia","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","South-East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","East Asia","Number","110"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Mid-East","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Central and South America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","Europe excluding UK and Ireland","Number","140"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 8","North America","Number","20"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","All nationalities","Number","2290"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","UK","Number","30"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Ireland","Number","2020"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Unknown","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Africa","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Central Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","South Asia","Number","20"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","South-East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","East Asia","Number","70"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Mid-East","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Central and South America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","Europe excluding UK and Ireland","Number","110"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 9","North America","Number","20"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","All nationalities","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","UK","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Ireland","Number","10"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Unknown","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Africa","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Central Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","South Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","South-East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","East Asia","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Mid-East","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Central and South America","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","Europe excluding UK and Ireland","Number","0"
"Number of Graduates","2010","Business, Administration and Law","NFQ Level 10","North America","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","All nationalities","Number","2890"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","UK","Number","60"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Ireland","Number","2660"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Unknown","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Africa","Number","20"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Central Asia","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","South Asia","Number","20"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","South-East Asia","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","East Asia","Number","20"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Mid-East","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Australia and South Pacific","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Central and South America","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","Europe excluding UK and Ireland","Number","80"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","All NFQ Levels","North America","Number","20"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","NFQ Level 6","All nationalities","Number","40"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","NFQ Level 6","UK","Number","0"
"Number of Graduates","2010","Natural Sciences, Mathematics and Statistics","NFQ Level 6","Ireland","Number","40"
